x;y;clc_quartier;clc_secteur;haut_tot;haut_tronc;tronc_diam;fk_arb_etat;fk_stadedev;fk_port;fk_pied;fk_situation;fk_revetement;dte_plantation;age_estim;clc_nbr_diag;dte_abattage;fk_nomtech;global_id;feuillage;remarquable
1721095.6459;8293514.7374;Quartier du Centre-Ville;Quai Gayant;6;2;37;EN PLACE;Jeune;semi libre;gazon;Alignement;Non;NA;15;0;NA;QUERUB;{B33346A7-0DE2-428E-A48D-4B231368284C};Feuillu;Non
1719828.358;8294304.9586;Quartier Saint-Jean;Rue Demoustier;0;0;0;Non essouché;NA;NA;fosse arbre;Alignement;Non;NA;15;0;NA;RAS;{ED071576-B251-4951-BC4F-AC96A3CC587E};NA;Non
1719656.9537;8295835.0154;Quartier du Vermandois;Stade Cepy;13;1;160;EN PLACE;Adulte;semi libre;gazon;Groupe;Non;NA;50;0;NA;PINNIGnig;{668FEFC7-0667-4FFA-AE55-C82861EDFC0B};Conifère;Non
1720792.1279;8293959.9257;Quartier du Centre-Ville;Rue Villebois Mareuil;12;3;116;REMPLACÉ;Adulte;semi libre;gazon;Alignement;Non;NA;30;0;2016/12/31 23:00:00+00;ACEPSE;{D0017CEC-D346-4C95-A043-AD115B267089};Feuillu;Non
1721742.4894;8295883.9685;Quartier de l'Europe;Square des Marronniers;16;3;150;EN PLACE;Adulte;semi libre;gazon;Groupe;Non;NA;50;0;NA;ACEPLA;{9B347790-954E-4E86-AD09-382FC1F32B24};Feuillu;Non
1721863.3578;8295513.886;Quartier de l'Europe;Avenue Buffon;5;2;170;Essouché;Adulte;réduit;gazon;Isolé;Non;NA;40;0;2018/04/30 22:00:00+00;SALBAB;{D6AF7997-D4B3-405F-8C95-F93C4F41BE4A};Feuillu;Non
1721969.4043;8295790.3804;Quartier de l'Europe;Rue Laplace;8;3;103;EN PLACE;Adulte;réduit relâché;fosse arbre;Alignement;Oui;NA;30;0;NA;ACEPLA;{20282309-2260-4D29-B357-093D16210454};Feuillu;Non
1719514.2003;8293219.3241;Quartier Saint-Martin - Oëstres;Rue de Paris;6;3;100;EN PLACE;Adulte;réduit;gazon;Alignement;Non;NA;50;1;NA;TILCOR;{785DBBAD-00D8-4CBF-B1B5-3986FFBF8D47};Feuillu;Non
1719488.0907;8293202.5464;Quartier Saint-Martin - Oëstres;Rue de Paris;8;2;85;EN PLACE;Adulte;réduit relâché;Revetement non permeable;Alignement;NA;NA;50;1;NA;TILCOR;{64DDB4C3-26F6-401F-A28E-FC9985A449E9};Feuillu;Non
1719476.0006;8293194.2108;Quartier Saint-Martin - Oëstres;Rue de Paris;8;4;105;EN PLACE;Adulte;réduit relâché;Revetement non permeable;Alignement;NA;NA;50;2;NA;TILCOR;{29091143-4B0E-4F81-A480-F455CBAA5F52};Feuillu;Non
1719462.3504;8293184.9752;Quartier Saint-Martin - Oëstres;Rue de Paris;9;4;135;EN PLACE;Adulte;réduit relâché;gazon;Alignement;Non;NA;50;2;NA;TILCOR;{0E165A9E-11AA-4D14-94B6-A24BE3C4D0E4};Feuillu;Non
1719449.573;8293176.4543;Quartier Saint-Martin - Oëstres;Rue de Paris;9;4;121;EN PLACE;Adulte;réduit relâché;gazon;Alignement;Non;NA;50;2;NA;TILCOR;{2E1FAB64-E198-4DBB-A571-818808B49F6D};Feuillu;Non
1719423.3568;8293159.6235;Quartier Saint-Martin - Oëstres;Rue de Paris;9;2;107;EN PLACE;Adulte;réduit relâché;gazon;Alignement;Non;NA;50;2;NA;TILCOR;{A43939E9-4200-454E-91D9-5A7C61916936};Feuillu;Non
1719408.6083;8293148.8539;Quartier Saint-Martin - Oëstres;Rue de Paris;9;5;125;EN PLACE;Adulte;réduit relâché;fosse arbre;Alignement;NA;NA;50;2;NA;TILCOR;{C09B4E8B-39CC-4233-A410-F4E18906C02D};Feuillu;Non
1719395.8308;8293140.5182;Quartier Saint-Martin - Oëstres;Rue de Paris;10;4;92;EN PLACE;Adulte;réduit relâché;Revetement non permeable;Alignement;NA;NA;50;1;NA;TILCOR;{A4AB81FC-636B-48AC-B2DE-4578BA836ED3};Feuillu;Non
1719369.6546;8293122.021;Quartier Saint-Martin - Oëstres;Rue de Paris;10;5;150;EN PLACE;Adulte;réduit relâché;Revetement non permeable;Alignement;NA;NA;50;1;NA;TILCOR;{9044F3BD-7031-4894-AFF8-479616BE7838};Feuillu;Non
1719356.6919;8293113.355;Quartier Saint-Martin - Oëstres;Rue de Paris;9;4;115;EN PLACE;Adulte;réduit relâché;Revetement non permeable;Alignement;NA;NA;50;1;NA;TILCOR;{680432AB-93BA-4C5B-AEA3-2F559D5AA495};Feuillu;Non
1719342.4597;8293102.1619;Quartier Saint-Martin - Oëstres;Rue de Paris;9;4;89;EN PLACE;Adulte;réduit relâché;Revetement non permeable;Alignement;NA;NA;50;2;NA;TILCOR;{B6B2CAF2-ADBE-46FD-ACFC-7E68E1EC6365};Feuillu;Non
